avgTemp,minTemp,maxTemp,rainFall,avgPrice
-3.7,-6.4,-0.3,0.5,1214
-3.4,-8.1,1.5,0,1214
-0.6,-4.9,4.3,0,1214
-1.1,-6,4.7,0,1241
-0.2,-5.8,5.5,0,1241
2.4,-1.9,6.7,0.1,1241
-1.6,-6.6,3.5,0.1,1316
-4.4,-9.3,1,0.3,1308
-3.1,-7.2,1.2,0.8,1308
-4.1,-7.9,0,0.1,1308
-4.8,-9,0.2,0,1251
-3.3,-9.1,3.8,0,1282
-0.5,-6.3,5.9,0.1,1323
0.2,-4.5,5.4,0.3,1338
-2.1,-6.7,4.6,0,1326
-1.2,-7.1,3.8,0,1326
-0.3,-4.7,3.8,0.4,1326
-2.8,-7.5,2.6,0,1319
-1.9,-5.8,2.8,0.7,1319
-4,-6.6,-1,0.8,1319
-4.1,-8.7,1.5,0,1338
-2.6,-7.8,3.7,0,1338
-3.3,-9,4.1,0,1338
-1.9,-8.2,4.7,0,1338
0.1,-4,4.9,0,1350
0,-3.7,4.5,0,1347
-3,-7.6,0.7,0,1340
-3.4,-9.6,2.2,0,1192
-0.2,-4.8,5.3,0,1194
-1,-6.6,4.9,0,1194
-0.6,-3.9,3.8,0,1194
1.2,-4,7.3,2,1190
2.8,-1.2,8.6,0.2,1240
2.4,-1.8,7.3,0.4,1240
4.8,1.7,7.4,5.9,1288
5.9,3.5,8.9,1.4,1374
3.8,1.4,6.7,1.5,1374
-1.7,-6.2,2.5,0,1374
-6.3,-9.6,-2.3,0,1374
-5.8,-10.6,-0.7,0.2,1374
-5.9,-9.7,-2,0.7,1377
-3.3,-10.9,3.2,0,1427
0.1,-4.9,6.1,0.1,1431
0.2,-3.8,5.7,0,1431
-0.9,-5.8,4.8,0,1431
-2.8,-7.1,2.4,0,1386
-2.3,-9.2,3.4,3.3,1374
-6.5,-10.6,-0.4,0.3,1510
-10.2,-13.9,-5.7,0.1,1522
-7,-13.7,-0.9,0,1522
-1.9,-7.5,4.1,0.1,1522
-0.6,-5.2,5.6,0,1522
1.2,-4.3,6.2,1.6,1488
